Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Callee","[kernel32.dll]","[iisexpress.exe]",163,16,34.10,3.35,
"Callee","[kernel32.dll]","[iisfreb.dll]",26,0,5.44,0.00,
"Callee","[kernel32.dll]","[kernel32.dll]",2,0,0.42,0.00,
"Callee","[kernel32.dll]","[KernelBase.dll]",5,0,1.05,0.00,
"Callee","[kernel32.dll]","[nativrd2.dll]",16,0,3.35,0.00,
"Callee","[kernel32.dll]","[ntdll.dll]",34,0,7.11,0.00,
"Callee","[kernel32.dll]","[propsys.dll]",4,0,0.84,0.00,
"Callee","[kernel32.dll]","[w3tp.dll]",136,42,28.45,8.79,
"Root","[KernelBase.dll]","[KernelBase.dll]",191,10,39.96,2.09,
"Caller","[KernelBase.dll]","[AcLayers.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[apphelp.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[aspnetcore.dll]",7,0,1.46,0.00,
"Caller","[KernelBase.dll]","[combase.dll]",9,0,1.88,0.00,
"Caller","[KernelBase.dll]","[cryptsp.dll]",2,0,0.42,0.00,
"Caller","[KernelBase.dll]","[iertutil.dll]",3,0,0.63,0.00,
"Caller","[KernelBase.dll]","[iisexpress.exe]",32,0,6.69,0.00,
"Caller","[KernelBase.dll]","[iisfreb.dll]",24,0,5.02,0.00,
"Caller","[KernelBase.dll]","[iisutil2.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[kernel32.dll]",5,0,1.05,0.00,
"Caller","[KernelBase.dll]","[KernelBase.dll]",94,2,19.67,0.42,
"Caller","[KernelBase.dll]","[mlang.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[mscoree.dll]",2,0,0.42,0.00,
"Caller","[KernelBase.dll]","[mscoreei.dll]",3,0,0.63,0.00,
"Caller","[KernelBase.dll]","[msvcrt.dll]",3,3,0.63,0.63,
"Caller","[KernelBase.dll]","[mswsock.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[nativrd2.dll]",22,1,4.60,0.21,
"Caller","[KernelBase.dll]","[nsi.dll]",2,0,0.42,0.00,
"Caller","[KernelBase.dll]","[ntdll.dll]",6,0,1.26,0.00,
"Caller","[KernelBase.dll]","[ole32.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[oleaut32.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[profapi.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[propsys.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[SHCore.dll]",3,0,0.63,0.00,
"Caller","[KernelBase.dll]","[tiptsf.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[user32.dll]",3,0,0.63,0.00,
"Caller","[KernelBase.dll]","[w3tp.dll]",37,3,7.74,0.63,
"Caller","[KernelBase.dll]","[w3wphost.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[webio.dll]",1,0,0.21,0.00,
"Caller","[KernelBase.dll]","[windows.storage.dll]",11,1,2.30,0.21,
"Caller","[KernelBase.dll]","[winhttp.dll]",4,0,0.84,0.00,
"Caller","[KernelBase.dll]","[ws2_32.dll]",5,0,1.05,0.00,
"Callee","[KernelBase.dll]","[iertutil.dll]",2,0,0.42,0.00,
"Callee","[KernelBase.dll]","[kernel32.dll]",2,0,0.42,0.00,
"Callee","[KernelBase.dll]","[KernelBase.dll]",94,2,19.67,0.42,
"Callee","[KernelBase.dll]","[ntdll.dll]",2,0,0.42,0.00,
"Callee","[KernelBase.dll]","[ntdll.dll]",174,13,36.40,2.72,
"Callee","[KernelBase.dll]","[webio.dll]",4,0,0.84,0.00,
"Root","[klhkum.dll]","[klhkum.dll]",65,4,13.60,0.84,
"Caller","[klhkum.dll]","[klhkum.dll]",23,0,4.81,0.00,
"Caller","[klhkum.dll]","[klhkum.dll]",64,3,13.39,0.63,
"Caller","[klhkum.dll]","[ntdll.dll]",1,1,0.21,0.21,
"Caller","[klhkum.dll]","[wow64.dll]",41,0,8.58,0.00,
"Callee","[klhkum.dll]","[klhkum.dll]",64,3,13.39,0.63,
"Callee","[klhkum.dll]","[ntdll.dll]",61,58,12.76,12.13,
"Root","[klhkum.dll]","[klhkum.dll]",25,0,5.23,0.00,
"Caller","[klhkum.dll]","[klhkum.dll]",25,0,5.23,0.00,
"Caller","[klhkum.dll]","[ntdll.dll]",12,0,2.51,0.00,
"Callee","[klhkum.dll]","[klhkum.dll]",25,0,5.23,0.00,
"Callee","[klhkum.dll]","[klhkum.dll]",23,0,4.81,0.00,
"Callee","[klhkum.dll]","[ntdll.dll]",2,0,0.42,0.00,
"Root","[mlang.dll]","[mlang.dll]",1,0,0.21,0.00,
"Caller","[mlang.dll]","[combase.dll]",1,0,0.21,0.00,
"Caller","[mlang.dll]","[mlang.dll]",1,0,0.21,0.00,
"Callee","[mlang.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[mlang.dll]","[mlang.dll]",1,0,0.21,0.00,
"Root","[mscoree.dll]","[mscoree.dll]",5,0,1.05,0.00,
"Caller","[mscoree.dll]","[iisexpress.exe]",5,0,1.05,0.00,
"Caller","[mscoree.dll]","[mscoree.dll]",2,0,0.42,0.00,
"Callee","[mscoree.dll]","[KernelBase.dll]",2,0,0.42,0.00,
"Callee","[mscoree.dll]","[mscoree.dll]",2,0,0.42,0.00,
"Callee","[mscoree.dll]","[mscoreei.dll]",3,0,0.63,0.00,
"Root","[mscoreei.dll]","[mscoreei.dll]",3,0,0.63,0.00,
"Caller","[mscoreei.dll]","[mscoree.dll]",3,0,0.63,0.00,
"Callee","[mscoreei.dll]","[KernelBase.dll]",3,0,0.63,0.00,
"Root","[msvcrt.dll]","[msvcrt.dll]",34,23,7.11,4.81,
"Caller","[msvcrt.dll]","[aspnetcore.dll]",1,0,0.21,0.00,
"Caller","[msvcrt.dll]","[iisexpress.exe]",10,3,2.09,0.63,
"Caller","[msvcrt.dll]","[iisfreb.dll]",1,1,0.21,0.21,
"Caller","[msvcrt.dll]","[msvcrt.dll]",14,12,2.93,2.51,
"Caller","[msvcrt.dll]","[nativrd2.dll]",5,1,1.05,0.21,
"Caller","[msvcrt.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Caller","[msvcrt.dll]","[propsys.dll]",1,0,0.21,0.00,
"Caller","[msvcrt.dll]","[w3tp.dll]",14,5,2.93,1.05,
"Caller","[msvcrt.dll]","[xmllite.dll]",1,1,0.21,0.21,
"Callee","[msvcrt.dll]","[KernelBase.dll]",3,3,0.63,0.63,
"Callee","[msvcrt.dll]","[msvcrt.dll]",14,12,2.93,2.51,
"Callee","[msvcrt.dll]","[ntdll.dll]",8,1,1.67,0.21,
"Root","[mswsock.dll]","[mswsock.dll]",9,0,1.88,0.00,
"Caller","[mswsock.dll]","[mswsock.dll]",5,0,1.05,0.00,
"Caller","[mswsock.dll]","[ws2_32.dll]",9,0,1.88,0.00,
"Callee","[mswsock.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[mswsock.dll]","[mswsock.dll]",5,0,1.05,0.00,
"Callee","[mswsock.dll]","[ntdll.dll]",7,0,1.46,0.00,
"Callee","[mswsock.dll]","[ws2_32.dll]",1,0,0.21,0.00,
"Root","[nativrd2.dll]","[nativrd2.dll]",47,9,9.83,1.88,
"Caller","[nativrd2.dll]","[combase.dll]",26,9,5.44,1.88,
"Caller","[nativrd2.dll]","[kernel32.dll]",16,0,3.35,0.00,
"Caller","[nativrd2.dll]","[ntdll.dll]",3,0,0.63,0.00,
"Caller","[nativrd2.dll]","[xmllite.dll]",2,0,0.42,0.00,
"Callee","[nativrd2.dll]","[advapi32.dll]",1,0,0.21,0.00,
"Callee","[nativrd2.dll]","[combase.dll]",1,0,0.21,0.00,
"Callee","[nativrd2.dll]","[cryptsp.dll]",1,0,0.21,0.00,
"Callee","[nativrd2.dll]","[KernelBase.dll]",22,1,4.60,0.21,
"Callee","[nativrd2.dll]","[msvcrt.dll]",5,1,1.05,0.21,
"Callee","[nativrd2.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[nativrd2.dll]","[oleaut32.dll]",1,0,0.21,0.00,
"Callee","[nativrd2.dll]","[windows.storage.dll]",2,0,0.42,0.00,
"Callee","[nativrd2.dll]","[xmllite.dll]",4,0,0.84,0.00,
"Root","[nsi.dll]","[nsi.dll]",8,0,1.67,0.00,
"Caller","[nsi.dll]","[IPHLPAPI.DLL]",8,0,1.67,0.00,
"Callee","[nsi.dll]","[KernelBase.dll]",2,0,0.42,0.00,
"Callee","[nsi.dll]","[ntdll.dll]",6,0,1.26,0.00,
"Root","[ntdll.dll]","[ntdll.dll]",260,191,54.39,39.96,
"Caller","[ntdll.dll]","[KernelBase.dll]",2,0,0.42,0.00,
"Caller","[ntdll.dll]","[klhkum.dll]",2,0,0.42,0.00,
"Caller","[ntdll.dll]","[klhkum.dll]",61,58,12.76,12.13,
"Caller","[ntdll.dll]","[ntdll.dll]",243,7,50.84,1.46,
"Caller","[ntdll.dll]","[ntdll.dll]",207,0,43.31,0.00,
"Caller","[ntdll.dll]","[user32.dll]",3,0,0.63,0.00,
"Caller","[ntdll.dll]","[win32u.dll]",2,0,0.42,0.00,
"Caller","[ntdll.dll]","[wow64.dll]",125,124,26.15,25.94,
"Caller","[ntdll.dll]","[wow64cpu.dll]",2,2,0.42,0.42,
"Caller","[ntdll.dll]","[wow64win.dll]",3,0,0.63,0.00,
"Callee","[ntdll.dll]","[klhkum.dll]",1,1,0.21,0.21,
"Callee","[ntdll.dll]","[ntdll.dll]",243,7,50.84,1.46,
"Callee","[ntdll.dll]","[wow64.dll]",236,0,49.37,0.00,
"Callee","[ntdll.dll]","[wow64win.dll]",3,0,0.63,0.00,
"Root","[ntdll.dll]","[ntdll.dll]",441,82,92.26,17.15,
"Caller","[ntdll.dll]","[advapi32.dll]",2,0,0.42,0.00,
"Caller","[ntdll.dll]","[aepic.dll]",1,0,0.21,0.00,
"Caller","[ntdll.dll]","[apphelp.dll]",16,0,3.35,0.00,
"Caller","[ntdll.dll]","[combase.dll]",1,0,0.21,0.00,
"Caller","[ntdll.dll]","[dnsapi.dll]",1,1,0.21,0.21,
"Caller","[ntdll.dll]","[gdi32full.dll]",1,1,0.21,0.21,
"Caller","[ntdll.dll]","[httpapi.dll]",6,0,1.26,0.00,
"Caller","[ntdll.dll]","[iisexpress.exe]",11,3,2.30,0.63,
"Caller","[ntdll.dll]","[iisfcgi.dll]",1,0,0.21,0.00,
"Caller","[ntdll.dll]","[kernel32.dll]",34,0,7.11,0.00,
"Caller","[ntdll.dll]","[KernelBase.dll]",174,13,36.40,2.72,
"Caller","[ntdll.dll]","[msvcrt.dll]",8,1,1.67,0.21,
"Caller","[ntdll.dll]","[mswsock.dll]",7,0,1.46,0.00,
"Caller","[ntdll.dll]","[nativrd2.dll]",1,0,0.21,0.00,
"Caller","[ntdll.dll]","[nsi.dll]",6,0,1.26,0.00,
"Caller","[ntdll.dll]","[ntdll.dll]",441,57,92.26,11.92,
"Caller","[ntdll.dll]","[rpcrt4.dll]",4,1,0.84,0.21,
"Caller","[ntdll.dll]","[shell32.dll]",1,0,0.21,0.00,
"Caller","[ntdll.dll]","[user32.dll]",3,0,0.63,0.00,
"Caller","[ntdll.dll]","[uxtheme.dll]",1,0,0.21,0.00,
"Caller","[ntdll.dll]","[w3tp.dll]",8,2,1.67,0.42,
"Caller","[ntdll.dll]","[windows.storage.dll]",9,2,1.88,0.42,
"Caller","[ntdll.dll]","[winhttp.dll]",5,1,1.05,0.21,
"Callee","[ntdll.dll]","[aepic.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[apphelp.dll]",20,0,4.18,0.00,
"Callee","[ntdll.dll]","[aspnetcore.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[authmap.dll]",1,1,0.21,0.21,
"Callee","[ntdll.dll]","[combase.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[cryptbase.dll]",1,1,0.21,0.21,
"Callee","[ntdll.dll]","[dnsapi.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[iisfcgi.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[iisutil2.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[kernel32.dll]",378,0,79.08,0.00,
"Callee","[ntdll.dll]","[KernelBase.dll]",6,0,1.26,0.00,
"Callee","[ntdll.dll]","[klhkum.dll]",12,0,2.51,0.00,
"Callee","[ntdll.dll]","[msvcrt.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[nativrd2.dll]",3,0,0.63,0.00,
"Callee","[ntdll.dll]","[ntdll.dll]",441,57,92.26,11.92,
"Callee","[ntdll.dll]","[ntdll.dll]",207,0,43.31,0.00,
"Callee","[ntdll.dll]","[ole32.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[oleaut32.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[propsys.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[rewrite.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[user32.dll]",7,0,1.46,0.00,
"Callee","[ntdll.dll]","[w3wphost.dll]",2,0,0.42,0.00,
"Callee","[ntdll.dll]","[webio.dll]",1,0,0.21,0.00,
"Callee","[ntdll.dll]","[windows.storage.dll]",5,0,1.05,0.00,
"Callee","[ntdll.dll]","[winhttp.dll]",9,0,1.88,0.00,
"Root","[ole32.dll]","[ole32.dll]",1,0,0.21,0.00,
"Caller","[ole32.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Caller","[ole32.dll]","[ole32.dll]",1,0,0.21,0.00,
"Callee","[ole32.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[ole32.dll]","[ole32.dll]",1,0,0.21,0.00,
"Root","[oleaut32.dll]","[oleaut32.dll]",2,1,0.42,0.21,
"Caller","[oleaut32.dll]","[nativrd2.dll]",1,0,0.21,0.00,
"Caller","[oleaut32.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Caller","[oleaut32.dll]","[oleaut32.dll]",2,1,0.42,0.21,
"Callee","[oleaut32.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[oleaut32.dll]","[oleaut32.dll]",2,1,0.42,0.21,
"Root","[profapi.dll]","[profapi.dll]",1,0,0.21,0.00,
"Caller","[profapi.dll]","[profapi.dll]",1,0,0.21,0.00,
"Caller","[profapi.dll]","[windows.storage.dll]",1,0,0.21,0.00,
"Callee","[profapi.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[profapi.dll]","[profapi.dll]",1,0,0.21,0.00,
"Root","[propsys.dll]","[propsys.dll]",11,1,2.30,0.21,
"Caller","[propsys.dll]","[kernel32.dll]",4,0,0.84,0.00,
"Caller","[propsys.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Caller","[propsys.dll]","[propsys.dll]",9,1,1.88,0.21,
"Caller","[propsys.dll]","[windows.storage.dll]",6,0,1.26,0.00,
"Callee","[propsys.dll]","[combase.dll]",7,0,1.46,0.00,
"Callee","[propsys.dll]","[KernelBase.dll]",1,0,0.21,0.00,
"Callee","[propsys.dll]","[msvcrt.dll]",1,0,0.21,0.00,
"Callee","[propsys.dll]","[propsys.dll]",9,1,1.88,0.21,
"Callee","[propsys.dll]","[SHCore.dll]",1,1,0.21,0.21,
"Root","[rewrite.dll]","[rewrite.dll]",1,0,0.21,0.00,
"Caller","[rewrite.dll]","[ntdll.dll]",1,0,0.21,0.00,
"Callee","[rewrite.dll]","[kernel32.dll]",1,0,0.21,0.00,
"Root","[rpcrt4.dll]","[rpcrt4.dll]",7,2,1.46,0.42,
"Caller","[rpcrt4.dll]","[advapi32.dll]",1,0,0.21,0.00,
"Caller","[rpcrt4.dll]","[combase.dll]",2,0,0.42,0.00,
"Caller","[rpcrt4.dll]","[FWPUCLNT.DLL]",1,0,0.21,0.00,
"Caller","[rpcrt4.dll]","[rpcrt4.dll]",6,2,1.26,0.42,
"Caller","[rpcrt4.dll]","[sspicli.dll]",1,0,0.21,0.00,
"Caller","[rpcrt4.dll]","[winhttp.dll]",2,0,0.42,0.00,
"Callee","[rpcrt4.dll]","[combase.dll]",1,0,0.21,0.00,
"Callee","[rpcrt4.dll]","[ntdll.dll]",4,1,0.84,0.21,
"Callee","[rpcrt4.dll]","[rpcrt4.dll]",6,2,1.26,0.42,
"Root","[SHCore.dll]","[SHCore.dll]",4,1,0.84,0.21,
"Caller","[SHCore.dll]","[propsys.dll]",1,1,0.21,0.21,
"Caller","[SHCore.dll]","[SHCore.dll]",1,0,0.21,0.00,
"Caller","[SHCore.dll]","[windows.storage.dll]",3,0,0.63,0.00,
"Callee","[SHCore.dll]","[KernelBase.dll]",3,0,0.63,0.00,
"Callee","[SHCore.dll]","[SHCore.dll]",1,0,0.21,0.00,
"Root","[shell32.dll]","[shell32.dll]",33,0,6.90,0.00,
"Caller","[shell32.dll]","[iisexpress.exe]",33,0,6.90,0.00,
